meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.06,1.96,2.08,3.23,3.05,3.32,4.02,3.82,4.51,4.51,4.9,4.9,ChangeInsulationRValueForExteriorWalls,r_value,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.9,4.9,4.9,4.9,4.97,5.61,ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.06,1.96,2.08,3.23,3.05,3.32,4.02,3.82,4.51,4.51,4.97,5.61,3
ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.5,10.13,10.5,11.9,11.9,11.9,11.9,11.9,11.9,ChangeInsulationRValueForRoofs,r_value_roof,10.5,10.5,10.5,10.5,10.5,10.5,10.52,10.5,10.64,12.77,12.03,15.53,15.53,15.53,15.53,ChangeInsulationRValueForRoofs,r_value_roof,8.88,8.88,8.88,8.88,8.88,8.88,10.52,10.13,10.64,12.77,12.03,15.53,15.53,15.53,15.53,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.57,0.57,0.57,0.57,0.57,0.57,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,2
ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,ChangeUValueandSHGCOfWindows,window_shgc,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,2
SetBoilerThermalEfficiency,boiler_thermal_efficiency,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetBoilerThermalEfficiency,boiler_thermal_efficiency,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetBoilerThermalEfficiency,boiler_thermal_efficiency,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,3
ReplaceLightsInSpaceTypeWithLPD,lpd,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,ReplaceLightsInSpaceTypeWithLPD,lpd,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,ReplaceLightsInSpaceTypeWithLPD,lpd,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,3
SetChillerCOP,chiller_thermal_efficiency,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,SetChillerCOP,chiller_thermal_efficiency,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,SetChillerCOP,chiller_thermal_efficiency,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
